id;processo;assunto;subarea;classe;juiz;vara;foro;digital;apensado_ao;controle;outros_assuntos;processo_principal;situacao;valor_da_acao;data_recebimento;tipo_recebimento;recurso
604216;00031137720188260568;Práticas Abusivas;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;3ª Vara Cível;Foro de São João da Boa Vista;TRUE;1003596-27.2017.8.26.0568;2017/000859;NA;1003596-27.2017.8.26.0568;NA;NA;2018-09-06;NA;NA
200105;00186597920188260114;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara do Juizado Especial Cível;Foro de Campinas;TRUE;NA;2017/003297;NA;1046106-59.2017.8.26.0114;NA;NA;2018-05-29;NA;NA
479036;00072238220188260451;Planos de Saúde;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;Vara do Juizado Especial Cível e Criminal;Foro de Piracicaba;TRUE;NA;2016/001542;NA;1006012-62.2016.8.26.0451;NA;NA;2018-05-02;NA;NA
664924;00247395020188260602;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;2ª Vara Cível;Foro de Sorocaba;TRUE;NA;2015/002529;NA;1034483-57.2015.8.26.0602;NA;33182.77;2018-10-17;NA;NA
31704;00145506420188260003;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara do Juizado Especial Cível;Foro Regional III - Jabaquara;TRUE;NA;2017/004093;NA;0010549-70.2017.8.26.0003;NA;NA;2018-11-21;NA;NA
324130;00007348720188260270;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Judicial;Foro de Itapeva;TRUE;NA;2017/000065;NA;1000074-13.2017.8.26.0270;NA;NA;2018-03-06;NA;NA
557012;00026464320188260554;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;5ª Vara Cível;Foro de Santo André;TRUE;NA;2011/000788;NA;0016006-89.2011.8.26.0554;NA;529729.48;2018-02-09;NA;NA
170447;00069411420188260073;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de Avaré;TRUE;NA;2017/001956;NA;1004321-46.2017.8.26.0073;NA;NA;2018-09-27;NA;NA
621821;00186681320188260576;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Cristiano de Castro Jarreta Coelho;Vara do Juizado Especial Cível;Foro de São José do Rio Preto;TRUE;NA;2018/004677;NA;0018668-13.2018.8.26.0576;Extinto;485.55;2018-06-15;Livre;NA
359888;00102191520188260302;Interpretação / Revisão de Contrato;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Betiza Marques Soria Prado;Vara do Juizado Especial Cível e Criminal;Foro de Jaú;TRUE;NA;2018/004342;NA;0010219-15.2018.8.26.0302;NA;390;2018-11-06;Livre;NA
87744;00094527420188260011;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro Regional XI - Pinheiros;TRUE;1031112-68.2017.8.26.0100;2017/001517;NA;1031112-68.2017.8.26.0100;NA;NA;2018-11-20;NA;NA
72615;00008475120188260008;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Incidente de Desconsideração de Personalidade Jurídica;NA;1ª Vara do Juizado Especial Cível;Foro Regional VIII - Tatuapé;TRUE;NA;2016/002593;NA;0003946-97.2016.8.26.0008;NA;1478;2018-02-02;NA;NA
386427;00155918520188260320;Estabelecimentos de Ensino;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;GUILHERME SALVATTO WHITAKER;CEJUSC (Pré-Processual);Foro de Limeira;TRUE;NA;2018/005148;NA;0015591-85.2018.8.26.0320;Extinto;NA;2018-08-30;Direcionada;NA
339764;00026215820188260286;Estabelecimentos de Ensino;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Marcos Soares Machado;Juizado Especial Cível;Foro de Itu;TRUE;NA;2018/000847;NA;0002621-58.2018.8.26.0286;NA;240;2018-05-03;Livre;NA
32157;00003618120188260003;Substituição do Produto;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;MICHELLE FABIOLA DITTERT PUPULIM;1ª Vara do Juizado Especial Cível;Foro Regional III - Jabaquara;TRUE;NA;2018/000101;NA;0000361-81.2018.8.26.0003;Extinto;199;2018-01-15;Livre;NA
175812;00109180220188260077;Consórcio;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Carlos Gustavo de Souza Miranda;Vara do Juizado Especial Cível e Criminal;Foro de Birigui;TRUE;NA;2018/003696;NA;0010918-02.2018.8.26.0077;NA;2444.25;2018-11-23;Livre;NA
176656;00007339320188260079;Contratos de Consumo;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;FABIO FERNANDES LIMA;CEJUSC (Pré-Processual);Foro de Botucatu;TRUE;NA;2018/000308;NA;0000733-93.2018.8.26.0079;Extinto;NA;2018-01-29;Livre;NA
42618;00105788320188260004;Bancários;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Ana Laura Correa Rodrigues;1ª Vara do Juizado Especial Cível;Foro Regional IV - Lapa;TRUE;NA;2018/005049;NA;0010578-83.2018.8.26.0004;Em grau de recurso;16181.05;2018-09-13;Livre;NA
481848;00030951920188260451;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;Ettore Geraldo Avolio;Vara do Juizado Especial Cível e Criminal;Foro de Piracicaba;TRUE;NA;2018/000767;NA;0003095-19.2018.8.26.0451;NA;5140.97;2018-03-05;Livre;NA
81903;00003745620188260011;Transporte Aéreo;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;4ª Vara Cível;Foro Regional XI - Pinheiros;TRUE;NA;2017/001057;NA;1007161-21.2017.8.26.0011;NA;NA;2017-12-20;NA;NA
314832;00010951920188260266;Contratos de Consumo;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Helen Cristina de Melo Alexandre;CEJUSC (Pré-Processual);Foro de Itanhaém;TRUE;NA;2018/000238;NA;0001095-19.2018.8.26.0266;Extinto;NA;2018-02-21;Direcionada;NA
608345;00240707520188260576;Protesto Indevido de Título;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;8ª Vara Cível;Foro de São José do Rio Preto;TRUE;1014529-35.2017.8.26.0576;2017/000830;NA;1014529-35.2017.8.26.0576;NA;9646.75;2018-08-02;NA;NA
34127;00067585920188260003;Protesto Indevido de Título;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro Regional III - Jabaquara;TRUE;NA;2016/003003;NA;1017676-76.2016.8.26.0003;NA;NA;2018-06-01;NA;NA
87627;00092855720188260011;Planos de Saúde;DIREITO DO CONSUMIDOR;Cumprimento Provisório de Decisão;NA;3ª Vara Cível;Foro Regional XI - Pinheiros;TRUE;NA;2018/000575;NA;1004001-51.2018.8.26.0011;NA;NA;2018-11-13;NA;NA
83671;00031035520188260011;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;2ª Vara Cível;Foro Regional XI - Pinheiros;TRUE;NA;2016/001622;NA;1010589-45.2016.8.26.0011;NA;NA;2018-04-18;NA;NA
619134;00275150420188260576;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;6ª Vara Cível;Foro de São José do Rio Preto;TRUE;1022703-67.2016.8.26.0576;2016/001170;NA;1022703-67.2016.8.26.0576;NA;NA;2018-08-23;NA;NA
